DisplayName,DisplayVersion,ProcessName,InstallDate,ContentType,PackageIdentifiers
Zoom Workplace,7.0.6.84834,installer,2026-08-04T14:32:27Z,,"[
 ""us.zoom.pkg.videomeeting""
]"
XProtectCloudKitUpdate," 5354",XProtectUpdateService,2026-08-06T12:51:09Z,,
XProtectPlistConfigData," 5354",softwareupdated,2026-08-09T09:52:50Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4441""
]"
MySQL 26.7.0-community,,Installer,2026-08-09T17:34:29Z,,"[
 ""com.mysql.mysql"",
 ""com.mysql.launchd""
]"
GarageBand,10.4.14,appstoreagent,2026-08-09T17:58:05Z,,"[
 ""com.apple.pkg.GarageBand_AppStore""
]"
XProtectCloudKitUpdate," 5355",XProtectUpdateService,2026-08-12T13:17:22Z,,
Microsoft AutoUpdate,,installer,2026-08-13T18:56:38Z,,"[
 ""com.microsoft.package.Microsoft_AutoUpdate.app""
]"
XProtectPlistConfigData," 5355",softwareupdated,2026-08-16T15:35:49Z,config-data,"[
 ""com.apple.pkg.XProtectPlistConfigData_10_15.16U4442""
]"
XProtectCloudKitUpdate," 5356",XProtectUpdateService,2026-08-19T12:49:24Z,,
Microsoft Teams,26213.1006.5011.1671,installer,2026-08-19T13:03:32Z,,"[
 ""com.microsoft.teams2"",
 ""com.microsoft.MSTeamsAudioDevice""
]"
